groups;effect
group_B;no
group_A;no
group_A;yes
group_A;no
group_A;no
group_B;yes
group_B;no
group_B;yes
group_B;yes
group_B;yes
group_B;yes
group_B;no
group_B;no
group_B;yes
group_B;no
group_B;yes
group_B;no
group_B;no
group_A;yes
group_B;yes
group_A;yes
group_B;no
group_A;no
group_A;yes
group_A;yes
group_A;yes
group_A;yes
group_B;no
group_B;yes
group_A;yes
group_B;no
group_B;no
group_A;yes
group_B;yes
group_B;no
group_A;no
group_B;yes
group_B;no
group_A;yes
group_B;yes
group_A;yes
group_A;no
group_B;yes
group_A;yes
group_B;no
group_B;yes
group_A;yes
group_A;yes
group_A;no
group_B;no
group_B;yes
group_B;no
group_B;yes
group_B;no
group_A;yes
group_A;no
group_A;no
group_B;no
group_A;no
group_B;yes
group_B;yes
group_B;yes
group_A;yes
group_B;yes
group_A;yes
group_A;yes
group_B;yes
group_A;no
group_B;no
group_A;no
group_B;no
group_A;no
group_B;yes
group_A;no
group_A;yes
group_A;yes
group_A;yes
group_B;no
group_A;no
group_A;yes
group_A;yes
group_A;no
group_A;no
group_A;no
group_B;no
group_A;yes
group_A;no
group_A;no
group_B;yes
group_A;no
group_B;yes
group_A;yes
group_B;yes
group_B;no
group_A;yes
group_A;yes
group_A;no
group_B;yes
group_A;no
group_A;yes
group_B;yes
group_B;yes
group_B;yes
group_A;no
group_B;yes
group_A;no
group_B;yes
group_B;yes
group_B;yes
group_A;yes
group_A;no
group_B;no
group_B;no
group_B;no
group_A;no
group_A;yes
group_B;yes
group_B;yes
group_A;yes
group_A;no
group_A;yes
group_A;no
group_B;yes
group_A;yes
group_B;yes
group_A;no
group_A;yes
group_A;yes
group_B;no
group_A;no
group_B;yes
group_A;no
group_A;no
group_B;no
group_B;no
group_A;yes
group_A;yes
group_A;yes
group_A;no
group_A;no
group_A;no
group_A;no
group_A;yes
group_A;no
group_A;no
group_B;yes
group_B;no
group_B;no
group_A;yes
group_B;no
group_A;no
group_B;no
group_B;no
group_A;no
group_A;yes
group_B;yes
group_B;yes
group_A;no
group_A;no
group_B;no
group_B;no
group_A;yes
group_B;yes
group_B;yes
group_B;no
group_A;yes
group_B;yes
group_B;no
group_A;no
group_B;no
group_B;no
group_B;yes
group_A;no
group_A;no
group_A;no
group_B;no
group_B;no
group_A;yes
group_B;yes
group_A;yes
group_A;yes
group_B;no
group_A;yes
group_A;yes
group_A;no
group_B;no
group_A;yes
group_B;yes
group_A;no
group_B;yes
group_A;yes
group_B;no
group_B;yes
group_A;yes
group_B;no
group_B;yes
group_B;no
group_B;no
group_A;no
group_A;yes
group_B;no
group_A;no
group_A;no
group_B;yes
group_B;no
group_A;no
group_A;yes
group_B;yes
group_B;no
group_B;yes
group_B;no
group_B;yes
group_A;no
group_A;no
group_A;no
group_B;no
group_A;yes
group_A;yes
group_B;yes
group_B;no
group_B;yes
group_B;no
group_A;yes
group_B;no
group_B;yes
group_B;yes
group_B;yes
group_B;no
group_A;no
group_A;no
group_B;yes
group_A;no
group_A;no
group_B;yes
group_B;no
group_B;yes
group_A;no
group_B;yes
group_B;no
group_B;yes
group_A;yes
group_B;no
group_A;no
group_A;yes
group_B;yes
group_A;yes
group_A;no
group_B;no
group_A;no
group_B;yes
group_B;yes
group_B;yes
group_A;no
group_A;no
group_B;yes
group_B;yes
group_A;no
group_B;yes
group_A;yes
group_B;yes
group_B;yes
group_A;no
group_A;no
group_A;no
group_B;no
group_A;yes
group_A;no
group_B;no
group_A;yes
group_B;no
group_A;yes
group_A;yes
group_B;yes
group_A;yes
group_A;yes
group_B;no
group_A;no
group_A;no
group_B;no
group_A;yes
group_A;no
group_B;yes
group_A;no
group_B;no
group_B;yes
group_A;no
group_A;yes
group_B;yes
group_A;no
group_A;no
group_A;no
group_A;yes
group_A;no
group_A;yes
group_A;yes
group_B;yes
group_A;yes
group_A;no
group_B;no
group_B;yes
group_B;no
group_A;no
group_B;yes
group_A;no
group_B;no
group_A;yes
group_A;no
group_B;no
group_A;yes
group_B;no
group_A;no
group_B;no
group_B;no
group_A;no
group_A;no
group_A;yes
group_A;no
group_B;yes
group_A;yes
group_A;no
group_B;yes
group_A;yes
group_A;no
group_A;no
group_A;yes
group_B;no
group_A;no
group_B;no
group_B;yes
group_A;no
group_B;yes
group_B;no
group_A;no
group_B;yes
group_B;no
group_B;yes
group_B;yes
group_B;no
group_A;no
group_A;yes
group_A;yes
group_B;yes
group_A;yes
group_B;no
group_B;no
group_A;no
group_A;yes
group_B;no
group_A;yes
group_A;no
group_A;yes
group_B;yes
group_A;no
group_B;yes
group_A;no
group_B;no
group_B;no
group_B;yes
group_A;yes
group_A;no
group_A;no
group_A;no
group_B;yes
group_B;no
group_A;yes
group_A;yes
group_A;yes
group_B;yes
group_B;no
group_B;yes
group_B;yes
group_B;no
group_B;yes
group_A;yes
group_A;no
group_A;yes
group_B;no
group_A;yes
group_A;no
group_A;yes
group_B;no
group_A;yes
group_B;yes
group_B;yes
group_A;no
group_B;yes
group_A;no
group_A;no
group_B;no
group_A;no
group_B;yes
group_B;yes
group_B;yes
group_B;no
group_B;yes
group_A;yes
